Event	Date/Time	Latitude	Longitude	Depth water [m]	Bottle	[NH4]+ [µmol/l]
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	69.6	18	0.07
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	100.0	16	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	123.9	14	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	147.7	13	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	199.1	11	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	247.7	10	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	299.0	9	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	396.5	7	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	432.1	6	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	594.7	4	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	990.9	2	0.00
M77/4-CTD63	2009-02-09T17:29	-6.00000	-85.83333	196.8	24	0.00
M77/4-CTD63	2009-02-09T17:29	-6.00000	-85.83333	263.7	23	0.00
M77/4-CTD63	2009-02-09T17:29	-6.00000	-85.83333	355.1	21	0.00
M77/4-CTD63	2009-02-09T17:29	-6.00000	-85.83333	463.0	20	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	2.0	24	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	24.6	21	0.18
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	50.4	20	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	74.2	19	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	99.5	15	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	126.3	13	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	149.0	12	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	247.5	10	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	296.9	9	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	347.2	8	0.09
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	397.8	7	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	498.1	5	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	594.0	4	0.00
M77/4-CTD64	2009-02-09T20:42	-6.00000	-85.83317	745.0	1	0.00
