Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	Press [dbar]	Temp [°C]	Sal	OXYGEN [µmol/kg]	Sal	OXYGEN [µmol/kg]	NITRAT [µmol/kg]	NITRIT [µmol/kg]	N2O [nmol/kg]	SILCAT [µmol/kg]	PHSPHT [µmol/kg]	δ15N NO2 [‰ air]	δ15N NO3 [‰ air]	δ15N NO2+NO3 [‰ air]
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1236.5	200046	1251.1	3.703	34.564	68.2										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1480.2	200043	1498.5	2.993	34.601	82.5										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1480.3	200042	1498.6	2.989	34.601	82.5										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1480.6	200044	1498.9	3.001	34.600	82.2										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1480.6	200040	1498.9	2.990	34.600	82.7	34.601	82.2			#26.14					5.89
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1480.7	200041	1499.0	2.991	34.600	82.5										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1993.1	200035	2020.1	2.290	34.643	103.4	34.643	103.5			#26.06					5.38
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1993.3	200036	2020.3	2.290	34.643	103.4										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1993.4	200039	2020.4	2.290	34.643	103.4										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1993.7	200037	2020.7	2.291	34.643	103.4										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	1993.9	200038	2020.9	2.292	34.643	103.4										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2490.9	200031	2527.5	1.884	34.668	131.6										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2491.1	200034	2527.7	1.886	34.668	131.9										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2491.1	200032	2527.7	1.886	34.668	131.8										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2491.1	200030	2527.7	1.885	34.668	131.7	34.669	132.5			#16.25					5.25
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2491.2	200033	2527.8	1.886	34.668	132.0										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2977.0	200027	3024.1	1.778	34.678	132.5										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2977.4	200025	3024.5	1.778	34.678	132.1										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2977.4	200024	3024.5	1.778	34.678	132.6	34.678	#132.8			#18.19					3.12
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2977.7	200029	3024.8	1.778	34.678	132.1										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2977.9	200028	3025.0	1.778	34.678	132.6										
M77/4-CTD3	2009-01-28T18:40	-13.998500	-77.058160	2978.1	200026	3025.2	1.778	34.678	132.6										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	1.1	200070	1.1	19.621	34.925	221.0										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	1.7	200069	1.7	19.542	34.926	219.5	34.942	214.3			#39.13					10.73
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	2.1	200071	2.1	19.774	34.929	222.2										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	2.6	200068	2.6	19.743	34.929	219.9										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	20.3	200067	20.5	15.926	34.920	128.7										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	20.5	200066	20.7	15.998	34.938	129.7	34.940	130.4			#26.88			-0.34	11.23	9.23
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	49.0	200065	49.4	14.492	34.970	2.8		3.4			#65.71			-8.21	14.44	8.51
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	100.1	200064	101.0	13.489	34.951	2.8										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	100.2	200063	101.1	13.479	34.953	2.8		2.4			#43.25			-15.64	10.16	10.64
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	197.8	200062	199.7	12.393	34.892	2.9										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	198.2	200059	200.1	12.380	34.894	3.0	34.892	#2.4			#21.78			-17.24	11.06	9.39
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	199.2	200061	201.1	12.406	34.893	3.0										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	199.2	200060	201.1	12.402	34.897	2.9										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	295.8	200058	298.7	11.053	34.802	3.1	34.792	#3.4			#17.80			-16.01	17.80	8.33
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	395.8	200057	399.7	9.153	34.669	3.2		#2.4			#51.72					8.23
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	496.3	200055	501.3	7.792	34.594	9.2										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	496.6	200056	501.6	7.801	34.596	9.2										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	496.6	200052	501.6	7.777	34.591	9.1		8.6			#50.64					7.94
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	496.9	200054	501.9	7.806	34.595	9.2										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	497.0	200053	502.0	7.806	34.594	9.2										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	900.6	200051	910.5	4.891	34.535	40.7		40.6			#35.71					5.67
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	991.9	200050	1003.0	4.605	34.538	48.0	34.539									
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	992.4	200049	1003.6	4.594	34.537	48.0										
M77/4-CTD4	2009-01-28T21:02	-13.998500	-77.058167	992.5	200048	1003.7	4.602	34.537	48.0		46.0			#32.20					5.63
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	1.6	200093	1.6	21.626	34.998	258.5	35.008									
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	1.9	200094	1.9	21.658	34.994	258.6										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	2.1	200095	2.1	21.678	35.000	258.0										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	9.0	200092	9.1	17.632	35.081	218.6										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	19.2	200091	19.4	17.155	35.056	215.8										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	49.2	200090	49.6	14.573	34.761	140.6										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	75.1	200089	75.8	13.394	34.774	32.2										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	98.0	200088	98.9	13.069	34.874	2.8										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	148.1	200087	149.5	12.420	34.864	2.8	34.861									
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	198.1	200085	200.0	11.775	34.833	2.9										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	198.7	200086	200.6	11.787	34.832	2.9										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	198.7	200084	200.6	11.762	34.828	2.9										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	246.8	200083	249.1	11.144	34.794	3.0										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	296.4	200082	299.3	10.437	34.748	3.0										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	345.5	200081	348.9	9.644	34.692	3.1										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	395.4	200080	399.3	9.012	34.662	5.0	34.657									
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	494.5	200077	499.5	7.722	34.599	6.5										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	495.2	200078	500.2	7.747	34.602	6.5										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	495.6	200079	500.6	7.742	34.600	6.5										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	590.2	200076	596.3	7.055	34.576	7.8										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	691.3	200075	698.6	6.030	34.533	20.2										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	789.8	200074	798.3	5.387	34.527	30.2										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	888.8	200073	898.6	4.832	34.528	43.8										
M77/4-CTD5	2009-01-29T00:34	-14.000000	-77.500167	993.1	200072	1004.3	4.483	34.535	52.0	34.536									
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	0.9	200117	0.9	23.499	35.069	231.8					#8.10					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	1.1	200119	1.1	23.495	35.071	232.2										
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	1.3	200118	1.3	23.500	35.071	231.7										
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	10.1	200116	10.2	20.237	35.010	265.0					#7.76					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	19.8	200115	20.0	17.844	35.082	236.7					#15.16				11.35	13.08
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	49.6	200114	50.0	15.894	34.936	168.2					#12.82					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	73.7	200113	74.4	14.309	34.866	8.9					#30.89			-5.17	11.32	13.84
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	98.2	200112	99.1	13.400	34.912	2.8					#15.98					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	146.9	200111	148.3	12.483	34.878	2.9					#12.53			-14.89	22.78	17.84
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	198.9	200109	200.8	11.659	34.828	2.9										
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	199.0	200108	200.9	11.655	34.828	2.9					#10.98			-16.52		12.72
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	199.8	200110	201.7	11.724	34.824	2.9										
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	247.1	200107	249.5	10.977	34.796	3.0					#10.87			-19.85		11.22
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	296.5	200106	299.4	10.301	34.743	3.0	34.742				#16.68			-23.24	11.80	9.61
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	345.6	200105	349.0	9.564	34.697	3.1					#44.02					6.45
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	394.4	200104	398.3	8.803	34.648	4.3					#51.99					4.95
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	493.9	200101	498.9	7.493	34.578	13.8	34.577				#45.87					5.43
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	494.0	200103	499.0	7.500	34.577	13.6										
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	494.4	200102	499.4	7.517	34.578	12.9										
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	592.1	200100	598.2	6.592	34.543	17.4					#40.48					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	691.4	200099	698.7	5.842	34.530	23.1					#38.29					5.54
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	790.6	200098	799.1	5.200	34.527	35.3					#29.85					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	887.2	200097	897.0	4.739	34.536	44.2					#27.09					
M77/4-CTD6	2009-01-29T04:17	-14.000000	-77.999667	991.8	200096	1002.9	4.419	34.543	52.6	34.545				#26.12					5.35
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	2.3	200133	2.3	23.833	35.107	219.5										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	2.4	200134	2.4	23.834	35.108	219.8										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	2.5	200135	2.5	23.837	35.108	220.7										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	10.6	200132	10.7	23.841	35.103	219.8	35.108									
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	59.9	200131	60.4	13.582	34.803	11.7										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	60.0	200129	60.5	13.525	34.818	11.8										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	60.1	200130	60.6	13.521	34.809	11.2										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	80.1	200126	80.8	13.258	34.871	2.7										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	80.8	200128	81.5	13.277	34.873	2.7										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	80.9	200127	81.6	13.276	34.872	2.8										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	294.9	200124	297.7	9.866	34.701	3.0										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	295.6	200125	298.4	9.895	34.713	3.0	34.707									
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	295.8	200123	298.7	9.853	34.700	3.0										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	296.1	200122	299.0	9.840	34.701	3.0										
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	593.7	200121	599.8	6.435	34.528	22.9	34.529									
M77/4-CTD7	2009-01-29T09:09	-13.999833	-78.750667	991.2	200120	1002.3	4.342	34.548	55.6	34.549									
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	1.1	200167	1.1	24.342	35.100	216.8			0.00	0.01		0.27	0.50			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	1.1	200165	1.1	24.349	35.099	216.9	35.099	218.8	0.00	0.01	#7.17	0.27	0.50			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	1.5	200166	1.5	24.348	35.100	215.8			0.00	0.01		0.27	0.50			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	9.8	200164	9.9	24.176	35.155	217.8										
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	19.6	200163	19.8	17.553	35.011	241.4		200.9	10.03	0.29	#15.47	2.86	1.31	-6.93	15.58	12.20
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	49.5	200162	49.9	14.129	34.724	118.3		55.2	20.46	0.43	#27.29	15.44	2.44			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	73.9	200161	74.6	13.095	34.817	5.7		3.9	19.38	1.08	#28.06	22.23	2.74	-12.91	19.23	17.24
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	97.5	200160	98.4	12.760	34.861	2.8		#2.4	#18.15	#2.93	#15.05	#24.91	#2.71			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	146.9	200159	148.3	12.079	34.847	2.8		2.4	24.79	2.29	#12.24	25.48	2.66	-24.51	15.39	12.36
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	197.9	200156	199.8	11.214	34.801	2.9		2.4	29.22	1.04	#18.22	26.36	2.67	-20.08	12.19	12.72
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	198.2	200157	200.1	11.241	34.797	2.9			29.22	1.04		26.36	2.67			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	198.7	200158	200.6	11.263	34.800	2.9			29.22	1.04		26.36	2.67			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	246.8	200155	249.2	10.678	34.761	2.9	34.762	2.4	32.17	0.70	#17.61	27.74	2.73	-21.93		
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	296.1	200154	299.0	10.122	34.734	3.0		1.9	33.94	0.05	#28.68	30.20	2.79		8.85	8.85
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	345.5	200153	348.9	9.429	34.684	4.7		#4.3	#37.50	#0.00	#43.60	#30.94	#2.86		7.93	7.93
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	394.6	200152	398.5	8.852	34.644	7.3		7.2	38.96	0.00	#48.10	32.47	2.92		7.68	7.68
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	495.2	200151	500.2	7.660	34.577	15.8			42.31	0.00		37.98	3.06			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	495.2	200150	500.2	7.653	34.578	15.8			42.31	0.00		37.98	3.06			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	495.4	200149	500.4	7.617	34.577	15.6		15.0	42.31	0.00	#47.26	37.98	3.06		9.41	9.41
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	593.3	200148	599.4	6.684	34.538	21.1	34.542	20.1	45.36	0.00	#40.11	45.06	3.19			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	692.7	200147	700.0	5.962	34.528	23.1		24.0	46.05	0.01	#33.62	53.92	3.28		8.42	8.42
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	791.0	200146	799.5	5.189	34.508	41.8		#41.4	#45.98	#0.00	#27.80	#61.73	#3.24			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	888.8	200145	898.6	4.768	34.525	46.6		46.3	46.25	0.01	#23.90	70.54	3.21			
M77/4-CTD8	2009-01-29T14:23	-14.000000	-79.500167	990.4	200144	1001.5	4.312	34.539	57.1	34.540	56.8	44.28	0.01	#24.78	79.79	3.20		7.32	7.32
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	1.9	200190	1.9	24.884	35.140	221.2		217.7	0.09	0.00		0.67	0.50		6.02	6.02
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	2.1	200191	2.1	24.872	35.138	221.7			0.09	0.00		0.67	0.50			
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	7.1	200189	7.2	24.239	35.145	221.4	35.145	221.2	0.06	0.00		0.59	0.51		7.88	7.88
